
#temps e^- Ar B C K L 
0.0 1.0 1.0 0.0 0.0 0.0 0.0 
1.0 0.4000000000000001 0.6700000000000002 0.27 0.39 0.21000000000000002 0.21000000000000002 
2.0 0.18 0.7000000000000001 0.2 0.4 0.4200000000000001 0.4200000000000001 
3.0 0.06 0.7300000000000002 0.15000000000000002 0.39 0.55 0.55 
4.0 0.02 0.8100000000000002 0.06 0.32 0.6600000000000001 0.6600000000000001 
5.0 0.01 0.8200000000000001 0.05 0.31 0.68 0.68 
6.0 0.01 0.8500000000000002 0.02 0.28 0.7100000000000002 0.7100000000000002 
7.0 0.01 0.8500000000000002 0.02 0.28 0.7100000000000002 0.7100000000000002 
8.0 0.0 0.8400000000000002 0.030000000000000006 0.29000000000000004 0.7100000000000002 0.7100000000000002 
9.0 0.0 0.8400000000000002 0.030000000000000006 0.29000000000000004 0.7100000000000002 0.7100000000000002 
10.0 0.0 0.8400000000000002 0.030000000000000006 0.29000000000000004 0.7100000000000002 0.7100000000000002 
11.0 0.0 0.8500000000000002 0.02 0.28 0.7200000000000001 0.7200000000000001 
12.0 0.0 0.8600000000000001 0.01 0.27 0.7300000000000001 0.7300000000000001 
13.0 0.0 0.8600000000000001 0.01 0.27 0.7300000000000001 0.7300000000000001 
14.0 0.0 0.8600000000000001 0.01 0.27 0.7300000000000001 0.7300000000000001 
15.0 0.0 0.8600000000000001 0.01 0.27 0.7300000000000001 0.7300000000000001 
16.0 0.0 0.8600000000000001 0.01 0.27 0.7300000000000001 0.7300000000000001 
17.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
18.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
19.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
20.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
21.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
22.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
23.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
24.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
25.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
26.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
27.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
28.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
29.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
30.0 0.0 0.8700000000000001 0.0 0.26 0.74 0.74 
